Timeline ID,Game ID,Timeline Order,Section,Type,Name,Requirement,Available After,Travel Zone,Instructions,Why Now?,Status,Verified,Source 1,Source 2,Research Notes,App Notes
T0075,FA008,75,Bohan,Friend Activity,Drink with Brucie,100%,M027,Broker/Dukes/Bohan,Call Brucie and complete the drinking activity with him.,Brucie is now a required 100% friend; clear all activities currently available before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Helicopter and boating activities are deferred until after Blow Your Cover because the Steam guide identifies that later unlock point.,
T0076,FA009,76,Bohan,Friend Activity,Go Bowling with Brucie,100%,M027,Broker/Dukes/Bohan,Call Brucie and complete the bowling activity with him.,Brucie is now a required 100% friend; clear all activities currently available before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Helicopter and boating activities are deferred until after Blow Your Cover because the Steam guide identifies that later unlock point.,
T0077,FA010,77,Bohan,Friend Activity,Visit the Strip Club with Brucie,100%,M027,Broker/Dukes/Bohan,Call Brucie and complete the strip club activity with him.,Brucie is now a required 100% friend; clear all activities currently available before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Helicopter and boating activities are deferred until after Blow Your Cover because the Steam guide identifies that later unlock point.,
T0078,FA011,78,Bohan,Friend Activity,See a Show with Brucie,100%,M027,Broker/Dukes/Bohan,Call Brucie and complete the show activity with him.,Brucie is now a required 100% friend; clear all activities currently available before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Helicopter and boating activities are deferred until after Blow Your Cover because the Steam guide identifies that later unlock point.,
T0079,BR001,79,Bohan,Race,Brucie's Race – South Broker,100%,M027,Broker/Dukes,Call Brucie for a race and win this event.,Win the three eastern-island races now while Broker and Dukes are still central to your route.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0080,BR002,80,Bohan,Race,Brucie's Race – Airport Run,100%,M027,Broker/Dukes,Call Brucie for a race and win this event.,Win the three eastern-island races now while Broker and Dukes are still central to your route.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0081,BR003,81,Bohan,Race,Brucie's Race – Dukes Boulevard,100%,M027,Broker/Dukes,Call Brucie for a race and win this event.,Win the three eastern-island races now while Broker and Dukes are still central to your route.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0082,M028,82,Bohan,Mission,Escuela of the Streets,Story,M025,Bohan,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0083,RC005,83,Bohan,Random Character,Mel,100%,M028,Broker,Complete Mel's random encounter when his icon appears near the Russian clothing store.,This encounter becomes available during the Bohan phase and is best cleared before later story branches pull you west.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0084,M029,84,Bohan,Mission,Street Sweeper,Story,M028,Bohan,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0085,M030,85,Bohan,Mission,Luck of the Irish,Story,M025,Bohan,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0086,M031,86,Bohan,Mission,Blow Your Cover,Story,M030,Bohan/Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0087,FA012,87,Algonquin,Friend Activity,Take a Helicopter Ride with Brucie,100%,M031,Algonquin,Call Brucie and complete the helicopter ride activity with him.,"These activities are now available, completing Brucie's required activity set.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Steam guide explicitly notes heli ride and boating unlock after Blow Your Cover.,
T0088,FA013,88,Algonquin,Friend Activity,Go Boating with Brucie,100%,M031,Algonquin,Call Brucie and complete the boating activity with him.,"These activities are now available, completing Brucie's required activity set.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Steam guide explicitly notes heli ride and boating unlock after Blow Your Cover.,
T0089,FR002,89,Algonquin,Friend Ability,Unlock Brucie's Helicopter Rides ability,100%,75% Like,Liberty City,Raise Brucie's Like stat until Helicopter Rides unlocks.,Completing the special ability now finishes Brucie's 100% friendship requirement.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Steam guide lists the ability at 75% Like; this exceeds the PDF's completion threshold.,
T0090,BR004,90,Algonquin,Race,Brucie's Race – South Algonquin,100%,M027 / M031,Algonquin,Call Brucie for a race and win this event.,"Algonquin is now open, so clear its three required races while working in the borough.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0091,BR005,91,Algonquin,Race,Brucie's Race – Star Junction,100%,M027 / M031,Algonquin,Call Brucie for a race and win this event.,"Algonquin is now open, so clear its three required races while working in the borough.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0092,BR006,92,Algonquin,Race,Brucie's Race – Road to Bohan,100%,M027 / M031,Algonquin,Call Brucie for a race and win this event.,"Algonquin is now open, so clear its three required races while working in the borough.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0093,MW011,93,Algonquin,Most Wanted,Most Wanted – Shon Kikuchi,100%,M031,Algonquin,Use the police computer and eliminate Shon Kikuchi.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0094,MW012,94,Algonquin,Most Wanted,Most Wanted – Jimmy Kand,100%,M031,Algonquin,Use the police computer and eliminate Jimmy Kand.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0095,MW013,95,Algonquin,Most Wanted,Most Wanted – Simon Nashly,100%,M031,Algonquin,Use the police computer and eliminate Simon Nashly.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0096,MW014,96,Algonquin,Most Wanted,Most Wanted – Tommy Francovic,100%,M031,Algonquin,Use the police computer and eliminate Tommy Francovic.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0097,MW015,97,Algonquin,Most Wanted,Most Wanted – Barry Lamora,100%,M031,Algonquin,Use the police computer and eliminate Barry Lamora.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0098,MW016,98,Algonquin,Most Wanted,Most Wanted – Lino Friddell,100%,M031,Algonquin,Use the police computer and eliminate Lino Friddell.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0099,MW017,99,Algonquin,Most Wanted,Most Wanted – Juan Haimo,100%,M031,Algonquin,Use the police computer and eliminate Juan Haimo.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0100,MW018,100,Algonquin,Most Wanted,Most Wanted – Darren Covey,100%,M031,Algonquin,Use the police computer and eliminate Darren Covey.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0101,MW019,101,Algonquin,Most Wanted,Most Wanted – Leo Brodell,100%,M031,Algonquin,Use the police computer and eliminate Leo Brodell.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0102,MW020,102,Algonquin,Most Wanted,Most Wanted – Christov Mahonvic,100%,M031,Algonquin,Use the police computer and eliminate Christov Mahonvic.,Clear the ten Algonquin Most Wanted targets while the story is concentrated on this island.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0103,M032,103,Algonquin,Mission,The Puerto Rican Connection,Story,M029,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0104,RC006,104,Algonquin,Random Character,Ilyena Faustin,100%,M032,Broker/Dukes,Complete Ilyena Faustin's random encounter when her icon appears at Firefly Island.,The Steam linear guide places this immediately after The Puerto Rican Connection; clear it before the next major Elizabeta sequence.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0105,RC007,105,Algonquin,Random Character,Hossan Ramzy,100%,M032,Algonquin,Complete the encounter when the blue person icon appears.,These required encounters are grouped here because Algonquin is newly open and the story has not yet moved into the heavier late-game branches.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,First encounter southwest of Rotterdam Tower.,
T0106,RC008,106,Algonquin,Random Character,Pathos – First Encounter,100%,M032,Algonquin,Complete the encounter when the blue person icon appears.,These required encounters are grouped here because Algonquin is newly open and the story has not yet moved into the heavier late-game branches.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,First Star Junction encounter.,
T0107,RC009,107,Algonquin,Random Character,Pathos – Second Encounter,100%,RC008,Algonquin,Complete the encounter when the blue person icon appears.,These required encounters are grouped here because Algonquin is newly open and the story has not yet moved into the heavier late-game branches.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Second Star Junction encounter.,
T0108,RC010,108,Algonquin,Random Character,Sara – First Encounter,100%,RC007,Algonquin,Complete the encounter when the blue person icon appears.,These required encounters are grouped here because Algonquin is newly open and the story has not yet moved into the heavier late-game branches.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Usually 10pm–4am; Steam guide places it after Hossan.,
T0109,RC011,109,Algonquin,Random Character,Sara – Second Encounter,100%,RC010,Algonquin,Complete the encounter when the blue person icon appears.,These required encounters are grouped here because Algonquin is newly open and the story has not yet moved into the heavier late-game branches.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Second encounter at Pier 45.,
T0110,M033,110,Algonquin,Mission,The Snow Storm,Story,M031,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0111,M034,111,Algonquin,Mission,Have a Heart,Story,M033,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0112,M035,112,Algonquin,Mission,Deconstruction for Beginners,Story,M031,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0113,M036,113,Algonquin,Mission,Photo Shoot,Story,M035,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0114,RC012,114,Algonquin,Random Character,Jeff Harlingford – First Encounter,100%,M032 / M036,Algonquin,Complete Jeff's first random encounter northeast of Middle Park.,"Only Jeff's first encounter contributes to 100%, so clear it now and treat later Jeff encounters as optional.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,GTA Wiki's 100% list requires only the first Jeff encounter.,
T0115,M037,115,Algonquin,Mission,Hostile Negotiation,Story,M034 / M036,Bohan,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0116,M038,116,Algonquin,Mission,Ruff Rider,Story,M031,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0117,M039,117,Algonquin,Mission,Undress to Kill,Story,M038,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0118,M040,118,Algonquin,Mission,The Holland Play,Story,M036/M039,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0119,M041,119,Algonquin,Mission,Wrong Is Right,Story,M033 / M036,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0120,M042,120,Algonquin,Mission,Portrait of a Killer,Story,M041,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0121,M043,121,Algonquin,Mission,Dust Off,Story,M042,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0122,M044,122,Algonquin,Mission,Paper Trail,Story,M043,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0123,M045,123,Algonquin,Mission,Call and Collect,Story,M032,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0124,M046,124,Algonquin,Mission,Final Interview,Story,M045,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0125,M047,125,Algonquin,Mission,Holland Nights,Story,M046,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0126,M048,126,Algonquin,Mission,Lure,Story,M047,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0127,M049,127,Algonquin,Mission,Harboring a Grudge,Story,M032,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0128,M050,128,Algonquin,Mission,Waste Not Want Knots,Story,M049,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0129,M051,129,Algonquin,Mission,Three Leaf Clover,Story,M050,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0130,FA014,130,Alderney,Friend Activity,Drink with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the drinking activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0131,FA015,131,Alderney,Friend Activity,Go Bowling with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the bowling activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0132,FA016,132,Alderney,Friend Activity,Play Pool with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the pool activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0133,FA017,133,Alderney,Friend Activity,Play Darts with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the darts activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0134,FA018,134,Alderney,Friend Activity,Visit the Strip Club with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the strip club activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0135,FA019,135,Alderney,Friend Activity,See a Show with Packie,100%,M051,Algonquin/Alderney,Call Packie and complete the show activity with him.,Packie is a required 100% friend; completing his full activity set now prevents a late friendship grind.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0136,FR003,136,Alderney,Friend Ability,Unlock Packie's Car Bomb ability,100%,75% Like,Liberty City,Raise Packie's Like stat until the Car Bomb ability unlocks.,This completes the required special-ability portion of Packie's 100% friendship requirement.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Steam guide lists the ability at 75% Like.,
T0137,RC013,137,Alderney,Random Character,Marnie Allen – First Encounter,100%,M051,Algonquin,Complete the encounter when the blue person icon appears.,"These required encounters are best cleared as soon as Alderney opens, before the late-game mission web expands.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"First encounter near City Hall, commonly around noon.",
T0138,RC014,138,Alderney,Random Character,Marnie Allen – Second Encounter,100%,RC013,Algonquin,Complete the encounter when the blue person icon appears.,"These required encounters are best cleared as soon as Alderney opens, before the late-game mission web expands.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"Second encounter west of Middle Park, commonly around noon.",
T0139,RC015,139,Alderney,Random Character,Eddie Low – First Encounter,100%,M051,Alderney,Complete the encounter when the blue person icon appears.,"These required encounters are best cleared as soon as Alderney opens, before the late-game mission web expands.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"First encounter near Auto Eroticar, 10pm–4am.",
T0140,RC016,140,Alderney,Random Character,Eddie Low – Second Encounter,100%,RC015,Alderney,Complete the encounter when the blue person icon appears.,"These required encounters are best cleared as soon as Alderney opens, before the late-game mission web expands.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"Second encounter in west Alderney, 10pm–4am.",
T0141,BR007,141,Alderney,Race,Brucie's Race – North Alderney,100%,M027 / M051,Alderney,Call Brucie for a race and win this event.,These are the final three required unique race routes; completing them now finishes the 9-race 100% requirement.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0142,BR008,142,Alderney,Race,Brucie's Race – Elevated (Mid-Alderney),100%,M027 / M051,Alderney,Call Brucie for a race and win this event.,These are the final three required unique race routes; completing them now finishes the 9-race 100% requirement.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0143,BR009,143,Alderney,Race,Brucie's Race – South Alderney,100%,M027 / M051,Alderney,Call Brucie for a race and win this event.,These are the final three required unique race routes; completing them now finishes the 9-race 100% requirement.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0144,MW021,144,Alderney,Most Wanted,Most Wanted – Marty Boldenow,100%,M051,Alderney,Use the police computer and eliminate Marty Boldenow.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0145,MW022,145,Alderney,Most Wanted,Most Wanted – Noel Katsuda,100%,M051,Alderney,Use the police computer and eliminate Noel Katsuda.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0146,MW023,146,Alderney,Most Wanted,Most Wanted – Rodney Mceniry,100%,M051,Alderney,Use the police computer and eliminate Rodney Mceniry.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0147,MW024,147,Alderney,Most Wanted,Most Wanted – Glenn Lushbaugh,100%,M051,Alderney,Use the police computer and eliminate Glenn Lushbaugh.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0148,MW025,148,Alderney,Most Wanted,Most Wanted – Phil Bacerra,100%,M051,Alderney,Use the police computer and eliminate Phil Bacerra.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0149,MW026,149,Alderney,Most Wanted,Most Wanted – Sergi Szerbin,100%,M051,Alderney,Use the police computer and eliminate Sergi Szerbin.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0150,MW027,150,Alderney,Most Wanted,Most Wanted – Danny Hatmaker,100%,M051,Alderney,Use the police computer and eliminate Danny Hatmaker.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0151,MW028,151,Alderney,Most Wanted,Most Wanted – Mervin Eskuchen,100%,M051,Alderney,Use the police computer and eliminate Mervin Eskuchen.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0152,MW029,152,Alderney,Most Wanted,Most Wanted – Fredrick Harrison,100%,M051,Alderney,Use the police computer and eliminate Fredrick Harrison.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0153,MW030,153,Alderney,Most Wanted,Most Wanted – Keenan Burdett,100%,M051,Alderney,Use the police computer and eliminate Keenan Burdett.,Clear Alderney's ten Most Wanted targets now to finish all 30 required police-computer targets.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0154,M052,154,Alderney,Mission,A Long Way to Fall,Story,M051,Alderney,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0155,M053,155,Alderney,Mission,Taking in the Trash,Story,M052,Alderney/Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0156,M054,156,Alderney,Mission,Meltdown,Story,M053,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0157,M055,157,Alderney,Mission,Museum Piece,Story,M054,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0158,M056,158,Alderney,Mission,No Way on the Subway,Story,M055,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0159,M057,159,Alderney,Mission,Weekend at Florian's,Story,M056,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0160,M058,160,Alderney,Mission,Late Checkout,Story,M057,Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
